arose
awoke
was
bore
beat
became
began
bent
bet
bound
bit
bled
blew
broke
bred
brought
broadcast
built
burnt
burst
bought
could
caught
chose
clung
came
cost
crept
cut
dealt
dug
did
drew
dreamt
drank
drove
ate
fell
fed
felt
fought
found
flew
forbade
forgot
forgave
froze
got
gave
went
ground
grew
hung
had
heard
hid
hit
held
hurt
kept
knelt
knew
laid
led
leant
learnt
left
lent
lay
lied
lit
lost
made
might
meant
met
mowed
had to
overtook
paid
put
read
rode
rang
rose
ran
sawed
said
saw
sold
sent
set
sewed
shook
should
shed
shone
shot
showed
shrank
shut
sang
sank
sat
slept
slid
smelt
sowed
spoke
spelt
spent
spilt
spat
spread
stood
stole
stuck
stung
stank
struck
swore
swept
swelled
swam
swung
took
taught
tore
told
thought
threw
understood
woke
wore
wept
would
won
wound
wrote
were
arisen
awoken
been
beaten
become
begun
bent
bet
bound
bitten
bled
blown
broken
bred
brought
broadcast
built
burnt/burned
burst
bought
caught
chosen
clung
come
cost
crept
cut
dealt
dug
done
drawn
dreamt
drunk
driven
eaten
fallen
fed
felt
fought
found
flown
forbidden
forgotten
forgiven
frozen
got
given
gone
ground
grown
hung
had
heard
hidden
hit
held
hurt
kept
knelt
known
laid
led
leant
learnt
left
lent
lain
lied
lit
lost
made
meant
met
mown
overtaken
paid
put
read
ridden
rung
risen
run
sawn
said
seen
sold
sent
set
sewn
shaken
shed
shone
shot
shown
shrunk
shut
sung
sunk
sat
slept
slid
smelt
sown
spoken
spelt
spent
spilt
spat
spread
stood
stolen
stuck
stung
stunk
struck
sworn
swept
swollen
swum
swung
taken
taught
torn
told
thought
thrown
understood
woken
worn
wept
won
wound
written
burned
